day,hour,overallAQI,status
1,0,56,Moderate
1,1,92,Moderate
1,2,85,Moderate
1,3,127,Unhealthy
1,4,56,Moderate
1,5,93,Moderate
1,6,123,Unhealthy
1,7,68,Moderate
1,8,83,Moderate
1,9,117,Unhealthy
1,10,114,Unhealthy
1,11,93,Moderate
1,12,82,Moderate
1,13,68,Moderate
1,14,84,Moderate
1,15,108,Unhealthy
1,16,101,Unhealthy
1,17,54,Moderate
1,18,103,Unhealthy
1,19,70,Moderate
1,20,123,Unhealthy
1,21,59,Moderate
1,22,72,Moderate
1,23,51,Moderate
2,0,118,Unhealthy
2,1,57,Moderate
2,2,58,Moderate
2,3,119,Unhealthy
2,4,69,Moderate
2,5,79,Moderate
2,6,103,Unhealthy
2,7,102,Unhealthy
2,8,55,Moderate
2,9,70,Moderate
2,10,55,Moderate
2,11,66,Moderate
2,12,68,Moderate
2,13,95,Moderate
2,14,122,Unhealthy
2,15,83,Moderate
2,16,63,Moderate
2,17,125,Unhealthy
2,18,77,Moderate
2,19,91,Moderate
2,20,54,Moderate
2,21,58,Moderate
2,22,71,Moderate
2,23,61,Moderate
3,0,78,Moderate
3,1,106,Unhealthy
3,2,50,Good
3,3,50,Good
3,4,54,Moderate
3,5,84,Moderate
3,6,61,Moderate
3,7,117,Unhealthy
3,8,117,Unhealthy
3,9,108,Unhealthy
3,10,111,Unhealthy
3,11,104,Unhealthy
3,12,89,Moderate
3,13,58,Moderate
3,14,106,Unhealthy
3,15,84,Moderate
3,16,85,Moderate
3,17,115,Unhealthy
3,18,120,Unhealthy
3,19,75,Moderate
3,20,84,Moderate
3,21,123,Unhealthy
3,22,62,Moderate
3,23,63,Moderate
4,0,72,Moderate
4,1,123,Unhealthy
4,2,122,Unhealthy
4,3,100,Moderate
4,4,118,Unhealthy
4,5,81,Moderate
4,6,66,Moderate
4,7,67,Moderate
4,8,63,Moderate
4,9,126,Unhealthy
4,10,99,Moderate
4,11,61,Moderate
4,12,114,Unhealthy
4,13,76,Moderate
4,14,91,Moderate
4,15,113,Unhealthy
4,16,119,Unhealthy
4,17,55,Moderate
4,18,126,Unhealthy
4,19,54,Moderate
4,20,92,Moderate
4,21,104,Unhealthy
4,22,119,Unhealthy
4,23,97,Moderate
5,0,81,Moderate
5,1,75,Moderate
5,2,68,Moderate
5,3,91,Moderate
5,4,94,Moderate
5,5,69,Moderate
5,6,74,Moderate
5,7,109,Unhealthy
5,8,104,Unhealthy
5,9,95,Moderate
5,10,80,Moderate
5,11,105,Unhealthy
5,12,105,Unhealthy
5,13,124,Unhealthy
5,14,126,Unhealthy
5,15,71,Moderate
5,16,80,Moderate
5,17,110,Unhealthy
5,18,56,Moderate
5,19,112,Unhealthy
5,20,103,Unhealthy
5,21,122,Unhealthy
5,22,67,Moderate
5,23,70,Moderate
6,0,54,Moderate
6,1,83,Moderate
6,2,69,Moderate
6,3,84,Moderate
6,4,67,Moderate
6,5,124,Unhealthy
6,6,110,Unhealthy
6,7,98,Moderate
6,8,116,Unhealthy
6,9,51,Moderate
6,10,124,Unhealthy
6,11,59,Moderate
6,12,78,Moderate
6,13,106,Unhealthy
6,14,82,Moderate
6,15,107,Unhealthy
6,16,80,Moderate
6,17,79,Moderate
6,18,68,Moderate
6,19,70,Moderate
6,20,84,Moderate
6,21,61,Moderate
6,22,72,Moderate
6,23,78,Moderate
7,0,116,Unhealthy
7,1,98,Moderate
7,2,76,Moderate
7,3,121,Unhealthy
7,4,120,Unhealthy
7,5,83,Moderate
7,6,86,Moderate
7,7,125,Unhealthy
7,8,69,Moderate
7,9,106,Unhealthy
7,10,108,Unhealthy
